timeout,model,trees,depth,tool,runtime,memory,robust,fragile,vulnerable,broken,unsolved
60,RF,25,5,silva,6.84,254,1723,7242,51,1484,0
60,RF,25,5,silva-mc,8.13,565,1723,7242,51,1484,0
60,RF,25,5,vote,2.96,65,1723,7242,51,1484,0
60,RF,25,5,vote-mc,1.1,78,1723,7242,51,1484,0
60,RF,25,10,silva,51.07,4479,2641,7391,7,461,0
60,RF,25,10,silva-mc,77.08,9283,2641,7390,7,461,1
60,RF,25,10,vote,20.48,96,2641,7391,7,461,0
60,RF,25,10,vote-mc,3.31,112,2641,7391,7,461,0
60,RF,50,5,silva,1677.17,53769,1875,7106,41,1470,8
60,RF,50,5,silva-mc,526.18,19697,1851,7042,39,1467,101
60,RF,50,5,vote,1239.93,67,1877,7112,41,1470,6
60,RF,50,5,vote-mc,79.42,92,1876,7113,41,1470,8
60,RF,50,10,silva,6581.2,52431,3385,6671,7,407,30
60,RF,50,10,silva-mc,2052.15,19189,3300,6304,7,406,483
60,RF,50,10,vote,4094.25,127,3387,6699,7,407,20
60,RF,50,10,vote-mc,193.09,160,3386,6700,7,407,24
60,RF,75,5,silva,10236.6,51042,2068,6912,40,1389,91
60,RF,75,5,silva-mc,1584.95,20855,2016,6709,37,1346,392
60,RF,75,5,vote,7870.36,68,2071,6988,40,1401,84
60,RF,75,5,vote-mc,308.32,100,2070,6989,40,1401,92
